dhsclust,urban_rural,NumOfResCS,cSectionPerClus,weightDenomCS,wNumOfCsection,cSecRate
70,urban,8,4,1.743144035,0.871572018,50
71,urban,4,3,0.765196025,0.573897019,75
72,rural,10,0,16.14238977,0,0
73,rural,18,4,26.66896176,5.926435947,22.22222222
74,rural,19,6,29.05210161,9.174347878,31.57894737
75,rural,11,4,16.41650939,5.969639778,36.36363636
76,rural,15,2,17.65887022,2.354516029,13.33333333
77,rural,15,5,23.14249456,7.714164853,33.33333333
78,rural,9,4,12.9327836,5.747903824,44.44444444
79,rural,12,4,18.00154781,6.000515938,33.33333333
80,rural,11,6,10.83908093,5.912225962,54.54545455
81,rural,9,4,12.68291652,5.636851788,44.44444444
82,rural,7,3,10.21036804,4.375872016,42.85714286
83,urban,8,2,8.488519669,2.122129917,25
84,rural,9,3,13.76499581,4.588331938,33.33333333
85,rural,22,1,34.28867173,1.558575988,4.545454545
86,rural,12,0,20.05520439,0,0
87,rural,9,1,15.29502332,1.699447036,11.11111111
88,rural,8,5,11.8656559,7.416034937,62.5
89,urban,9,3,11.12349629,3.707832098,33.33333333
90,rural,9,3,13.72432494,4.574774981,33.33333333
91,rural,4,1,5.815251827,1.453812957,25
92,rural,3,2,4.753656149,3.169104099,66.66666667
93,rural,10,0,13.41024995,0,0
94,rural,4,2,3.540976048,1.770488024,50
95,rural,10,0,13.51009011,0,0
96,rural,8,2,11.00095177,2.750237942,25
97,rural,9,3,8.942328215,2.980776072,33.33333333
98,rural,7,2,9.387174964,2.68204999,28.57142857
99,rural,8,4,11.97072792,5.98536396,50
100,rural,7,2,10.07662582,2.87903595,28.57142857
101,rural,5,2,7.001414895,2.800565958,40
102,rural,9,4,13.09891534,5.82174015,44.44444444
103,rural,15,9,15.82929075,9.497574449,60
104,rural,6,2,8.318897724,2.772965908,33.33333333
105,rural,8,0,10.98632813,0,0
106,rural,4,1,5.916004181,1.479001045,25
107,rural,11,6,8.904510915,4.857005954,54.54545455
108,rural,12,4,16.59883261,5.532944202,33.33333333
109,rural,18,1,26.89786792,1.494325995,5.555555556
110,rural,11,0,12.38201809,0,0
111,rural,11,1,16.00138128,1.454671025,9.090909091
112,rural,13,4,18.14109635,5.581875801,30.76923077
113,rural,15,2,21.82006538,2.909342051,13.33333333
114,rural,12,6,17.96163654,8.980818272,50
115,rural,10,2,14.02277946,2.804555893,20
116,rural,11,4,15.62634754,5.682308197,36.36363636
117,rural,3,0,4.704951167,0,0
118,rural,13,0,22.79417324,0,0
119,rural,11,7,15.97964513,10.16886508,63.63636364
120,rural,14,5,22.07029986,7.882249951,35.71428571
121,rural,9,1,11.8646636,1.318295956,11.11111111
122,rural,10,0,15.5467999,0,0
123,rural,14,4,28.63883305,8.182523727,28.57142857
124,rural,9,4,13.96143007,6.205080032,44.44444444
125,rural,19,0,27.55129194,0,0
126,rural,12,4,18.05798435,6.019328117,33.33333333
127,rural,11,5,16.51085758,7.504935265,45.45454545
128,rural,8,3,10.91003227,4.091262102,37.5
129,rural,16,1,23.83703995,1.489814997,6.25
130,rural,9,0,13.92602384,0,0
131,urban,9,0,9.493739963,0,0
132,urban,11,3,11.53900027,3.147000074,27.27272727
133,urban,5,1,5.726385117,1.145277023,20
134,urban,15,7,15.60990036,7.284620166,46.66666667
135,urban,7,3,9.542680025,4.089720011,42.85714286
136,urban,5,2,5.099269748,2.039707899,40
137,urban,7,5,7.542815328,5.387725234,71.42857143
138,urban,6,2,6.042174339,2.014058113,33.33333333
139,urban,6,2,6.161165714,2.053721905,33.33333333
140,urban,10,2,12.74119973,2.548239946,20
141,urban,14,5,14.2847178,5.101684928,35.71428571
142,urban,6,1,6.373464346,1.062244058,16.66666667
143,urban,15,5,15.03175557,5.010585189,33.33333333
144,urban,10,0,10.18818974,0,0
145,urban,8,0,8.337615967,0,0
146,urban,19,0,18.35409552,0,0
147,urban,13,3,13.62648237,3.144572854,23.07692308
148,urban,4,0,2.905771971,0,0
149,urban,9,5,6.537986934,3.632214963,55.55555556
150,urban,8,6,6.442527771,4.831895828,75
151,urban,4,4,3.039043903,3.039043903,100
152,urban,9,4,6.62302798,2.943567991,44.44444444
153,urban,8,3,5.505832195,2.064687073,37.5
154,urban,7,3,5.08942014,2.18118006,42.85714286
155,urban,8,0,6.107312202,0,0
156,urban,10,5,7.056440115,3.528220057,50
157,urban,5,1,3.43732506,0.687465012,20
158,urban,10,5,6.99796021,3.498980105,50
159,urban,3,2,1.569297016,1.04619801,66.66666667
160,urban,6,0,4.377617955,0,0
161,urban,4,2,3.401283979,1.70064199,50
162,urban,5,2,3.668864965,1.467545986,40
163,urban,3,0,2.324604034,0,0
164,rural,9,4,17.7265166,7.878451824,44.44444444
165,urban,6,3,9.319823742,4.659911871,50
166,urban,11,9,16.84881032,13.78539026,81.81818182
167,rural,5,4,9.942820072,7.954256058,80
168,urban,4,3,6.700716019,5.025537014,75
